Case #,Report Type,UCR Classification,Common Name,Address,Disposition,Occur from,Occur to,Rpt Date
15-002494,ASSAULT - SIMPLE,SIMPLE ASSAULT,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLEARED-ARREST,12/26/2015 09:20PM,12/26/2015 09:32PM,12/26/2015
15-002481,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,COLLEGIANA,4311  12TH AVE NE,CLOSED,12/21/2015 05:00AM,12/21/2015 12:00PM,12/23/2015
15-002482,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,12/23/2015 07:15AM,12/23/2015 03:00PM,12/23/2015
15-002483,THEFT - BICYCLE,LARCENY - OTHER,WILLIAM H. GATES HALL,4293 NE MEMORIAL WAY NE,CLOSED,12/23/2015 09:30AM,12/23/2015 05:30PM,12/23/2015
15-002477,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E16 PARKING LOT,3603 NE 41ST ST,CLOSED,12/22/2015 07:45AM,12/22/2015 08:45AM,12/22/2015
15-002478,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ROOSEVELT CLINIC I,4225  ROOSEVELT WAY NE,CLOSED,12/21/2015 02:00PM,12/22/2015 03:50PM,12/22/2015
15-002476,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLEARED-ARREST,12/15/2015 05:00PM,12/15/2015 05:30PM,12/21/2015
15-002476,THEFT - FROM BUILDING,TRESPASS OF REAL PROPERTY,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLEARED-ARREST,12/15/2015 05:00PM,12/15/2015 05:30PM,12/21/2015
15-002473,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N14 PARKING LOT,4213  PEND OREILLE RD NE,CLOSED,12/19/2015 10:00PM,12/20/2015 09:30AM,12/20/2015
15-002472,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N14 PARKING LOT,4213  PEND OREILLE RD NE,CLOSED,12/19/2015 10:00PM,12/20/2015 09:30AM,12/20/2015
15-002470,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E97 PARKING LOT GRAVES METERS,3910  MONTLAKE BLVD NE,CLOSED,12/19/2015 04:25PM,12/19/2015 04:45PM,12/19/2015
15-002462,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,12/9/2015 04:30PM,12/10/2015 06:30AM,12/18/2015
15-002458,VEHICLE THEFT,MOTOR VEHICLE THEFT,PORTAGE BAY PARKING FACILITY,3745  15TH AVE NE,CLOSED,12/17/2015 06:00AM,12/17/2015 04:45PM,12/17/2015
15-002452,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,12/16/2015 01:00PM,12/16/2015 02:00PM,12/16/2015
15-002452,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,12/16/2015 01:00PM,12/16/2015 02:00PM,12/16/2015
15-002446,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,12/15/2015 03:01PM,12/15/2015 03:02PM,12/15/2015
15-002435,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060 NE GEORGE WASHINGTON LN NE,CLOSED,12/13/2015 08:30PM,12/13/2015 11:45PM,12/14/2015
15-002440,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLEARED-ARREST,12/14/2015 10:45PM,12/14/2015 10:50PM,12/14/2015
15-002440,THEFT - FROM BUILDING,ALL OTHER OFFENSES,DISTRICT MARKET,1315 NE CAMPUS PKY,CLEARED-ARREST,12/14/2015 10:45PM,12/14/2015 10:50PM,12/14/2015
15-002430,ASSAULT - SIMPLE,SIMPLE ASSAULT,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,12/13/2015 02:00PM,12/13/2015 02:55PM,12/13/2015
15-002434,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HANSEE HALL,2011 NE 45TH ST,CLOSED,12/7/2015 08:00AM,12/11/2015 12:00PM,12/13/2015
15-002433,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HANSEE HALL,2011 NE 45TH ST,CLOSED,12/11/2015 08:00PM,12/13/2015 12:00PM,12/13/2015
15-002432,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HANSEE HALL,2011 NE 45TH ST,CLOSED,12/12/2015 10:00PM,12/13/2015 02:00PM,12/13/2015
15-002408,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,12/9/2015 10:27AM,12/9/2015 11:30AM,12/10/2015
15-002409,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HANSEE HALL,2011 NE 45TH ST,CLOSED,11/15/2015 08:00AM,12/10/2015 05:20PM,12/10/2015
15-002399,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,12/9/2015 10:45AM,12/9/2015 11:00AM,12/9/2015
15-002401,THEFT - BICYCLE,LARCENY - OTHER,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,CLOSED,12/9/2015 03:30PM,12/9/2015 07:50PM,12/9/2015
15-002395,THEFT - BICYCLE,LARCENY - OTHER,C10 PARKING LOT,3709  WEST STEVENS WAY NE,CLOSED,10/19/2015 12:45PM,11/2/2015 03:50PM,12/8/2015
15-002397,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E1 PARKING LOT,4239  WALLA WALLA RD NE,OPEN,12/8/2015 04:00PM,12/8/2015 06:00PM,12/8/2015
15-002397,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E1 PARKING LOT,4239  WALLA WALLA RD NE,OPEN,12/8/2015 04:00PM,12/8/2015 06:00PM,12/8/2015
15-002396,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,12/8/2015 04:05PM,12/8/2015 06:15PM,12/8/2015
15-002398,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MARY GATES HALL,1851 NE GRANT LN,CLOSED,12/8/2015 05:30PM,12/8/2015 07:00PM,12/8/2015
15-002377,THEFT - OTHER,LARCENY - OTHER,KANE HALL,4069  SPOKANE LN NE,CLOSED,7/6/2015 01:31PM,12/4/2015 01:00PM,12/5/2015
15-002368,ASSAULT - SIMPLE,SIMPLE ASSAULT,LAUREL VILLAGE,4200  MARY GATES MEMORIAL DR NE,CLEARED-ARREST,12/4/2015 02:30AM,12/4/2015 04:27AM,12/4/2015
15-002369,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,11/20/2015 03:00PM,11/20/2015 05:00PM,12/4/2015
15-002372,THEFT - OTHER,LARCENY - OTHER,KANE HALL,4069  SPOKANE LN NE,CLOSED,11/18/2015 01:23PM,12/4/2015 01:30PM,12/4/2015
15-002374,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,12/4/2015 06:40PM,12/4/2015 06:45PM,12/4/2015
15-002353,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,10/27/2015 11:50AM,11/25/2015 12:00PM,12/2/2015
15-002348,ASSAULT - SIMPLE,SIMPLE ASSAULT,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,12/1/2015 03:00AM,12/1/2015 04:00AM,12/1/2015
15-002350,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,12/1/2015 04:26PM,12/1/2015 04:29PM,12/1/2015
15-002345,THEFT - BICYCLE,LARCENY - OTHER,WINKENWERDER,3712  GARFIELD PL NE,CLOSED,11/29/2015 12:00PM,11/29/2015 06:00PM,11/30/2015
15-002336,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,11/28/2015 04:00PM,11/28/2015 04:40PM,11/28/2015
15-002330,THEFT - BICYCLE PARTS,LARCENY - OTHER,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLOSED,11/27/2015 05:05PM,11/27/2015 06:00PM,11/27/2015
15-002308,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLOSED,11/23/2015 06:45AM,11/23/2015 07:45PM,11/24/2015
15-002312,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,BAGLEY HALL,3900  OKANOGAN LN NE,CLOSED,11/24/2015 04:00PM,11/24/2015 04:30PM,11/24/2015
15-002314,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,11/24/2015 07:10PM,11/24/2015 08:50PM,11/24/2015
15-002313,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E18 PARKING LOT,2500 NE WAHKIAKUM LN,CLOSED,11/24/2015 07:10PM,11/24/2015 08:50PM,11/24/2015
15-002295,VEHICLE THEFT,MOTOR VEHICLE THEFT,CENTRAL PARKING GARAGE,4100  15TH AVE NE,CLOSED,11/20/2015 08:30PM,11/21/2015 01:45AM,11/21/2015
15-002288,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,TRIANGLE PARKING GARAGE,2121 NE PACIFIC PL,CLOSED,11/18/2015 02:00PM,11/20/2015 06:50AM,11/20/2015
15-002291,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W39 PARKING LOT,3927  ADAMS LN NE,CLOSED,11/19/2015 10:30PM,11/20/2015 06:00PM,11/20/2015
15-002280,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,11/19/2015 02:11PM,11/19/2015 02:25PM,11/19/2015
15-002282,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E1 PARKING LOT,4239  WALLA WALLA RD NE,CLOSED,11/19/2015 07:30AM,11/19/2015 08:45PM,11/19/2015
15-002261,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,KANE HALL,4069  SPOKANE LN NE,CLOSED,11/5/2015 07:00PM,11/6/2015 09:00AM,11/18/2015
15-002273,THEFT - BICYCLE,LARCENY - OTHER,PACCAR HALL,4295  EAST STEVENS WAY NE,CLOSED,11/18/2015 07:30PM,11/18/2015 11:00PM,11/18/2015
15-002255,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E9 PARKING LOT,3867  WALLA WALLA RD NE,CLOSED,11/17/2015 05:00PM,11/17/2015 05:20PM,11/17/2015
15-002255,THEFT - CAR PROWL,FRAUD-CREDIT CARD/ATM,E9 PARKING LOT,3867  WALLA WALLA RD NE,CLOSED,11/17/2015 05:00PM,11/17/2015 05:20PM,11/17/2015
15-002246,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W10 PARKING LOT,1166 NE COWLITZ RD,CLOSED,11/15/2015 11:45PM,11/16/2015 09:00AM,11/16/2015
15-002238,THEFT - BICYCLE,LARCENY - OTHER,LANDER HALL-PUBLIC,1245 NE CAMPUS PKY,CLOSED,11/12/2015 01:00PM,11/15/2015 10:00AM,11/15/2015
15-002239,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E8 PARKING LOT,3924 NE WALLA WALLA RD NE,CLOSED,11/15/2015 12:00PM,11/15/2015 04:30PM,11/15/2015
15-002226,THEFT - OTHER,LARCENY - OTHER,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,ARREST,11/12/2015 09:00AM,11/12/2015 12:00PM,11/13/2015
15-002226,THEFT - OTHER,FRAUD-CREDIT CARD/ATM,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,ARREST,11/12/2015 09:00AM,11/12/2015 12:00PM,11/13/2015
15-002233,THEFT - FROM BUILDING,FRAUD - IMPERSONATION,LANDER HALL,1201 NE CAMPUS PKY,CLOSED,11/13/2015 09:15AM,11/13/2015 03:55PM,11/13/2015
15-002233,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,LANDER HALL,1201 NE CAMPUS PKY,CLOSED,11/13/2015 09:15AM,11/13/2015 03:55PM,11/13/2015
15-002217,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAPLE HALL-RESIDENTIAL,1135 NE CAMPUS PKY,CLOSED,11/10/2015 09:00PM,11/11/2015 12:30PM,11/11/2015
15-002209,THEFT - OTHER,LARCENY - OTHER,IMA FIELD 3,3939  WALLA WALLA RD NE,CLOSED,11/9/2015 08:58PM,11/9/2015 09:30PM,11/9/2015
15-002204,THEFT - OTHER,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLEARED-ARREST,11/8/2015 05:09PM,11/8/2015 05:25PM,11/8/2015
15-002201,THEFT - OTHER,LARCENY - OTHER,E12 PARKING LOT,3750  MONTLAKE BLVD NE,CLOSED,11/7/2015 04:00PM,11/7/2015 07:17PM,11/7/2015
15-002194,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUTCHINSON HALL,4276  EAST STEVENS WAY NE,CLOSED,11/6/2015 02:10PM,11/6/2015 02:20PM,11/6/2015
15-002196,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,N25 PARKING LOT,4340  PEND OREILLE RD NE,CLOSED,10/14/2015 12:00PM,11/2/2015 12:00PM,11/6/2015
15-002198,THEFT - BICYCLE,LARCENY - FROM BUILDING,AEROSPACE & ENGINEER RESEARCH,3795  EAST STEVENS WAY NE,CLOSED,11/6/2015 04:45PM,11/6/2015 07:30PM,11/6/2015
15-002185,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,11/4/2015 05:30PM,11/5/2015 07:00AM,11/5/2015
15-002186,THEFT - OTHER,LARCENY - OTHER,OLD QUAD,4100  SPOKANE LN NE,CLOSED,11/4/2015 05:00PM,11/5/2015 07:30AM,11/5/2015
15-002189,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,ARREST,11/5/2015 05:00PM,11/5/2015 05:20PM,11/5/2015
15-002189,THEFT - FROM BUILDING,FRAUD - IMPERSONATION,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,ARREST,11/5/2015 05:00PM,11/5/2015 05:20PM,11/5/2015
15-002152,THEFT - OTHER,LARCENY - OTHER,UNIVERSITY OF WA MEDICAL CTR,1959 NE PACIFIC ST,CLOSED,11/1/2015 07:30PM,11/1/2015 08:05PM,11/4/2015
15-002163,THEFT - BICYCLE,LARCENY - OTHER,MCMAHON HALL,4200  WHITMAN CT NE,CLOSED,11/2/2015 11:44PM,11/2/2015 11:59PM,11/3/2015
15-002169,THEFT - BICYCLE,LARCENY - OTHER,IMA TENNIS COURTS - NORTH,3950  MONTLAKE BLVD NE,CLOSED,10/15/2015 12:57AM,10/30/2015 12:30AM,11/3/2015
15-002172,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,KANE HALL,4069 NE SPOKANE LN,CLOSED,10/29/2015 02:30PM,10/29/2015 03:30PM,11/3/2015
15-002155,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,ODEGAARD UNDERGRADUATE LIBRARY,4060  GEORGE WASHINGTON LN NE,CLOSED,11/2/2015 11:44AM,11/2/2015 11:46AM,11/2/2015
15-002160,ASSAULT - SIMPLE,SIMPLE ASSAULT,BRYANT BUILDING,0 NE PACIFIC ST,CLOSED,11/2/2015 06:45PM,11/2/2015 06:50PM,11/2/2015
15-002161,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E4 PARKING LOT,3101 NE CLARK RD,CLOSED,11/2/2015 06:00PM,11/2/2015 08:30PM,11/2/2015
15-002140,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLEARED-ARREST,10/31/2015 10:00PM,10/31/2015 10:45PM,11/1/2015
15-002146,ASSAULT - SIMPLE,SIMPLE ASSAULT,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLOSED,11/1/2015 01:47PM,11/1/2015 02:10PM,11/1/2015
15-002150,THEFT - BICYCLE,LARCENY - OTHER,LOEW HALL,3920  EAST STEVENS WAY NE,CLOSED,10/31/2015 01:00PM,10/31/2015 04:00PM,11/1/2015
15-002133,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,TRIANGLE PARKING GARAGE,2121 NE PACIFIC PL,CLOSED,10/29/2015 03:00PM,10/30/2015 05:46AM,10/30/2015
15-002135,THEFT - BICYCLE PARTS,LARCENY - OTHER,C10 PARKING LOT,3709  WEST STEVENS WAY NE,CLOSED,10/30/2015 09:25AM,10/30/2015 04:50PM,10/30/2015
15-002122,THEFT - OTHER,LARCENY - OTHER,ROOSEVELT CLINIC II,4245  ROOSEVELT WAY NE,CLOSED,10/28/2015 02:30PM,10/29/2015 06:09AM,10/29/2015
15-002125,THEFT - OTHER,LARCENY - OTHER,KANE HALL,4069  SPOKANE LN NE,CLOSED,10/19/2015 08:00AM,10/29/2015 11:00AM,10/29/2015
15-002124,THEFT - OTHER,LARCENY - OTHER,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,CLOSED,10/12/2015 08:00AM,10/29/2015 11:10AM,10/29/2015
15-002131,THEFT - BICYCLE,LARCENY - OTHER,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,10/29/2015 06:20PM,10/29/2015 07:15PM,10/29/2015
15-002118,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUSKY UNION BUILDING,4001 NE EAST STEVENS WAY NE,CLOSED,10/28/2015 01:00PM,10/28/2015 02:00PM,10/28/2015
15-002104,THEFT - BICYCLE,LARCENY - OTHER,HAGGETT HALL,4290  WHITMAN CT NE,CLOSED,10/26/2015 03:30PM,10/27/2015 10:45AM,10/27/2015
15-002107,THEFT - BICYCLE,LARCENY - FROM BUILDING,MCMAHON HALL,4211  PEND OREILLE ROAD NE,CLOSED,10/22/2015 05:00PM,10/27/2015 06:00PM,10/27/2015
15-002094,THEFT - FROM BUILDING,LARCENY - OTHER,CHDD CLINIC,1961 NE COLUMBIA RD,CLOSED,4/27/2015 08:00AM,10/26/2015 02:00PM,10/26/2015
15-002098,THEFT - FROM BUILDING,LARCENY - OTHER,RED SQUARE,4063  SPOKANE LN NE,CLOSED,10/26/2015 02:20PM,10/26/2015 05:00PM,10/26/2015
15-002099,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLEARED-ARREST,10/26/2015 05:15PM,10/26/2015 05:33PM,10/26/2015
15-002073,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,10/23/2015 08:57AM,10/23/2015 09:10AM,10/23/2015
15-002077,ASSAULT - SIMPLE,SIMPLE ASSAULT,ART BLDG,1915 NE CHELAN LN,CLOSED,10/20/2015 12:00PM,10/20/2015 12:05PM,10/23/2015
15-002079,THEFT - FROM BUILDING,TRESPASS OF REAL PROPERTY,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,10/23/2015 11:14PM,10/23/2015 11:36PM,10/23/2015
15-002079,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,10/23/2015 11:14PM,10/23/2015 11:36PM,10/23/2015
15-002063,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,,4130  UNIVERSITY WAY NE,CLOSED,10/22/2015 12:01AM,10/22/2015 12:52AM,10/22/2015
15-002066,THEFT - BICYCLE,LARCENY - OTHER,MAGNUSON HEALTH SCIENCES,1705 NE PACIFIC ST,CLOSED,10/21/2015 05:15PM,10/22/2015 10:00AM,10/22/2015
15-002068,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MERCER COURT APTS BLDG BCDE,3927  ADAMS LN NE,CLOSED,10/22/2015 03:10PM,10/22/2015 03:20PM,10/22/2015
15-002070,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUSKY UNION BUILDING,4001  EAST STEVENS WAY NE,CLOSED,10/22/2015 10:05AM,10/22/2015 12:30PM,10/22/2015
15-002056,THEFT - OTHER,LARCENY - OTHER,PACCAR HALL,4295  EAST STEVENS WAY NE,CLOSED,10/21/2015 12:14PM,10/21/2015 12:25PM,10/21/2015
15-002058,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,BAGLEY HALL,3900  OKANOGAN LN NE,CLOSED,10/13/2015 09:20AM,10/13/2015 10:20AM,10/21/2015
15-002059,THEFT - BICYCLE,LARCENY - OTHER,C10 PARKING LOT,1994 NE BURKE-GILMAN TRAIL,CLOSED,10/20/2015 09:00AM,10/20/2015 01:30PM,10/21/2015
15-002060,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,S1 PARKING LOT,1651 NE COLUMBIA RD,CLOSED,10/21/2015 07:00AM,10/21/2015 05:25PM,10/21/2015
15-002071,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,10/19/2015 09:30PM,10/19/2015 10:30PM,10/21/2015
15-002071,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,10/19/2015 09:30PM,10/19/2015 10:30PM,10/21/2015
15-002041,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,10/19/2015 09:30PM,10/19/2015 10:30PM,10/20/2015
15-002041,THEFT - FROM BUILDING,FRAUD-CREDIT CARD/ATM,INTRAMURAL ACTIVITIES BLDG,3924  MONTLAKE BLVD NE,CLOSED,10/19/2015 09:30PM,10/19/2015 10:30PM,10/20/2015
15-002044,THEFT - BICYCLE PARTS,LARCENY - OTHER,NORDHEIM COURT,5000  25TH AVE NE,CLOSED,10/20/2015 12:01AM,10/20/2015 06:00AM,10/20/2015
15-002045,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MARY GATES HALL,1851 NE GRANT LN,CLOSED,10/13/2015 03:00PM,10/13/2015 04:00PM,10/20/2015
15-002046,THEFT - BICYCLE,LARCENY - OTHER,BLOEDEL HALL,3714  GARFIELD PL NE,CLOSED,10/20/2015 08:45AM,10/20/2015 04:45PM,10/20/2015
15-002047,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,MCMAHON HALL,4200  WHITMAN CT NE,CLOSED,10/9/2015 02:00PM,10/16/2015 02:00PM,10/20/2015
15-002048,THEFT - BICYCLE,LARCENY - OTHER,TERRY HALL-PUBLIC,1000 NE CAMPUS PKY,CLOSED,10/20/2015 02:00PM,10/20/2015 04:40PM,10/20/2015
15-002025,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,TRIANGLE PARKING GARAGE,2121 NE PACIFIC PL,OPEN,10/18/2015 10:03AM,10/18/2015 10:40AM,10/18/2015
15-002031,THEFT - FROM BUILDING,LARCENY - FROM COIN-OPERATED DEVICE,ELM HALL,1218 NE CAMPUS PKY,CLOSED-UNFOUNDED,10/18/2015 11:00AM,10/18/2015 11:55AM,10/18/2015
15-002012,THEFT - BICYCLE,LARCENY - OTHER,C10 PARKING LOT,3709 W STEVENS WAY,CLOSED,10/15/2015 08:00AM,10/16/2015 09:00AM,10/17/2015
15-002015,THEFT - BICYCLE,LARCENY - OTHER,BLAKELEY VILLAGE,4747 NE 30TH AVE NE,CLOSED,10/10/2015 02:00PM,10/17/2015 10:00AM,10/17/2015
15-002021,ASSAULT - SIMPLE,SIMPLE ASSAULT,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLEARED-ARREST,10/17/2015 09:54PM,10/17/2015 09:54PM,10/17/2015
15-002013,THEFT - BICYCLE,LARCENY - OTHER,BENSON HALL,3781  OKANOGAN LN NE,CLOSED,10/16/2015 09:15AM,10/16/2015 08:00PM,10/16/2015
15-002001,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,PLANT SERVICES,4525 NE 25TH AVE NE,CLOSED,10/2/2015 03:30PM,10/13/2015 07:00AM,10/15/2015
15-002004,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,HUSKY STADIUM,3800  MONTLAKE BLVD NE,CLOSED,10/12/2015 11:00AM,10/13/2015 06:05AM,10/15/2015
15-001997,THEFT - BICYCLE,LARCENY - OTHER,HITCHCOCK OVERPASS,1605 NE PACIFIC ST,CLOSED,10/14/2015 07:30AM,10/14/2015 08:15PM,10/14/2015
15-001987,THEFT - BICYCLE,LARCENY - OTHER,HENDERSON HALL,1013 NE LINCOLN WAY,ARREST,10/13/2015 04:03PM,10/13/2015 05:20PM,10/13/2015
15-001987,THEFT - BICYCLE,ALL OTHER OFFENSES,HENDERSON HALL,1013 NE LINCOLN WAY,ARREST,10/13/2015 04:03PM,10/13/2015 05:20PM,10/13/2015
15-001988,THEFT - BICYCLE PARTS,LARCENY - OTHER,BLAKELEY VILLAGE,4747  30TH AVE NE,CLOSED,10/13/2015 09:15AM,10/13/2015 05:30PM,10/13/2015
15-001989,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,E14 PARKING LOT,4239  WALLA WALLA RD NE,CLOSED,10/13/2015 07:45PM,10/13/2015 09:00PM,10/13/2015
15-001969,THEFT - BICYCLE,LARCENY - OTHER,HEC EDMUNDSON PAVILION,3870  MONTLAKE BLVD NE,CLOSED,10/11/2015 08:15AM,10/12/2015 09:00AM,10/12/2015
15-001972,THEFT - FROM BUILDING,LARCENY - FROM BUILDING,UNIVERSITY OF WA MEDICAL CTR,"1959 NE PACIFIC ST. ROOM SW 206,",CLOSED,10/9/2015 05:00PM,10/12/2015 09:00AM,10/12/2015
15-001973,THEFT - BICYCLE,LARCENY - OTHER,MAGNUSON HEALTH SCIENCES,1994  BURKE-GILMAN TRAIL,CLOSED,7/19/2015 08:45AM,7/19/2015 11:00AM,10/12/2015
15-001975,ASSAULT - SIMPLE,SIMPLE ASSAULT,CONDON HALL,1100 NE CAMPUS PKY,CLOSED,10/12/2015 07:41PM,10/12/2015 07:50PM,10/12/2015
15-001976,THEFT - FROM BUILDING,LARCENY - SHOPLIFTING,DISTRICT MARKET,1315 NE CAMPUS PKY,CLOSED,10/12/2015 10:42PM,10/12/2015 10:50PM,10/12/2015
15-001964,THEFT - CAR PROWL,LARCENY - FROM VEHICLE/NOT PARTS,W32/33 PARKING LOT,1112 NE PACIFIC ST,CLEARED-ARREST,10/10/2015 10:30PM,10/11/2015 02:30PM,10/11/2015
